id,位置,号码,姓名,英文名,国家,俱乐部,年龄,生日,身高,体重,惯用脚,综合能力,扑救,站位,速度,反应,开球,手型
50005375,守门员,20,加布洛夫,V. Gabulov,俄罗斯,布鲁日,34,1983-10-19,190,85,右脚,76,75,76,56,79,78,74
50083835,守门员,12,卢尼奥夫,Andrey Lunev,俄罗斯,泽尼特,26,1991-11-13,189,80,右脚,62,65,60,47,61,60,63
50005174,守门员,1,阿金费耶夫,Igor Akinfeev,俄罗斯,莫斯科中央陆军,32,1986-04-08,186,82,右脚,80,79,82,50,83,78,73
50179263,守门员,22,穆罕默德-奥韦斯,Mohammed Al Owais,沙特阿拉伯,吉达国民,26,1991-10-10,185,70,右脚,0,,,,,,
50019454,守门员,21,亚西尔-穆萨勒姆,Yasser Al-Mosailem,沙特阿拉伯,吉达国民,34,1984-02-27,184,82,,0,,,,,,
50019460,守门员,1,阿卜杜拉-马约夫,Abdullah Al-Mayoof,沙特阿拉伯,利雅得新月,31,1987-01-23,183,92,左右脚,0,,,,,,
50061260,守门员,23,希纳维,Mohamed El Shenawy,埃及,开罗国民,29,1988-12-18,191,,右脚,0,,,,,,
50002048,守门员,16,埃克拉米,Sherif Ekramy,埃及,开罗国民,34,1983-07-10,192,93,右脚,0,,,,,,
50015878,守门员,1,哈达里,Essam El Hadary,埃及,布赖代合作,45,1973-01-15,188,,右脚,0,,,,,,
50040235,守门员,23,马丁-席尔瓦,M. Silva,乌拉圭,瓦斯科达伽马,35,1983-03-25,186,80,右脚,71,55,79,70,52,48,35
50063942,守门员,12,坎帕尼亚,M. Campaña,乌拉圭,独立,29,1989-05-29,186,85,右脚,76,81,71,44,81,72,75
50015168,守门员,1,穆斯莱拉,F. Muslera,乌拉圭,加拉塔萨雷,31,1986-06-16,190,84,右脚,83,83,79,62,85,75,78
50013094,守门员,22,贝托,Beto,葡萄牙,哥兹塔比,36,1982-05-01,182,81,右脚,77,81,75,40,80,77,69
50074883,守门员,12,安东尼-洛佩斯,Anthony Lopes,葡萄牙,里昂,27,1990-10-01,184,81,左脚,83,86,77,62,87,76,79
50012757,守门员,1,帕特里西奥,Rui Patrício,葡萄牙,葡萄牙体育,30,1988-02-15,190,84,左脚,84,85,82,55,83,80,81
50000292,守门员,23,雷纳,José Reina,西班牙,那不勒斯,35,1982-08-31,188,92,右脚,84,80,84,57,83,82,85
50128766,守门员,13,凯帕,Kepa Arrizabalaga,西班牙,毕尔巴鄂竞技,23,1994-10-03,189,84,右脚,79,77,76,33,80,75,81
50044369,守门员,1,德赫亚,David De Gea,西班牙,曼联,27,1990-11-07,192,76,右脚,90,88,85,56,90,87,85
50203980,守门员,22,塔纳乌蒂,Ahmed Reda Tagnaouti,摩洛哥,,22,1996-04-05,188,,右脚,0,,,,,,
50098771,守门员,12,卡约维-穆尼尔,Munir,摩洛哥,努曼西亚,29,1989-05-10,190,80,右脚,0,,,,,,
50110699,守门员,1,布努,Y. Bounou,摩洛哥,赫罗纳,27,1991-04-05,192,78,右脚,70,67,70,35,62,67,77
50123982,守门员,22,阿比德扎德,A. Abedzadeh,伊朗,马德拉航海,25,1993-04-26,183,86,右脚,0,,,,,,
50107481,守门员,12,马扎赫里,M. Mazaheri,伊朗,佐布阿汉,29,1989-05-18,193,84,右脚,0,,,,,,
50167640,守门员,1,贝兰万德,Alireza Beiranvand,伊朗,波斯波利斯,25,1992-09-21,,,左右脚,0,,,,,,
50090581,守门员,23,阿雷奥拉,Alphonse Areola,法国,巴黎圣日耳曼,25,1993-02-27,195,88,右脚,81,84,76,53,85,72,80
50009961,守门员,16,曼丹达,Steve Mandanda,法国,马赛,33,1985-03-28,185,82,右脚,85,86,81,48,85,79,80
50001179,守门员,1,洛里,Hugo Lloris,法国,托特纳姆热刺,31,1986-12-26,188,82,左脚,88,87,82,64,90,68,87
50013452,守门员,18,武科维奇,Vukovic,澳大利亚,亨克,33,1985-03-27,188,96,,66,66,60,50,67,63,65
50004172,守门员,12,布拉德-琼斯,Brad Jones,澳大利亚,费耶诺德,36,1982-03-19,194,76,左脚,73,75,70,54,72,72,72
50086372,守门员,1,马修-瑞安,Mat Ryan,澳大利亚,布莱顿,26,1992-04-08,184,82,右脚,79,82,78,60,80,82,73
50020519,守门员,21,卡尔瓦洛,J. Carvallo,秘鲁,卡哈马卡,32,1986-03-01,183,82,右脚,0,,,,,,
50110098,守门员,12,卡塞达,Carlos Cáceda,秘鲁,韦拉克鲁斯,26,1991-09-27,185,80,右脚,62,65,61,29,66,58,62
50017263,守门员,1,加莱塞,Pedro Gallese,秘鲁,韦拉克鲁斯,28,1990-02-23,189,68,左脚,74,77,72,47,72,68,69
50103326,守门员,22,怀诺乌,F. Rønnow,丹麦,布隆德比,25,1992-08-04,188,77,右脚,68,66,70,46,68,63,65
50029150,守门员,16,罗斯尔,Jonas Lössl,丹麦,哈德斯菲尔德,29,1989-02-01,195,89,右脚,77,79,78,57,79,71,70
50002607,守门员,1,卡斯帕-舒梅切尔,Kasper Schmeichel,丹麦,莱斯特城,31,1986-11-05,189,89,右脚,83,83,80,61,85,83,81
50042354,守门员,23,卡巴列罗,Willy Caballero,阿根廷,切尔西,36,1981-09-28,186,81,右脚,78,79,78,52,80,69,75
50036816,守门员,12,阿尔马尼,Armani,阿根廷,河床,31,1986-09-16,189,89,,77,76,79,32,77,67,73
50034560,守门员,1,古斯曼,Nahuel Guzmán,阿根廷,墨西哥老虎,32,1986-02-10,191,95,右脚,78,77,78,52,80,71,76
50136061,守门员,13,鲁纳尔松,R. Rúnarsson,冰岛,北西兰,23,1995-02-18,186,,右脚,56,57,57,46,58,53,53
50176577,守门员,12,施拉姆,F. Schram,冰岛,罗斯基德,23,1995-01-19,195,,右脚,0,,,,,,
50007404,守门员,1,哈尔多松,H. Halldórsson,冰岛,兰德斯,34,1984-04-27,194,89,右脚,67,69,66,38,68,59,62
50027151,守门员,23,苏巴西奇,Danijel Subasic,克罗地亚,摩纳哥,33,1984-10-27,191,84,右脚,83,82,81,53,83,79,78
50088842,守门员,12,洛夫雷-卡利尼奇,Kalinic,克罗地亚,根特,28,1990-04-03,201,96,,0,,,,,,
50137616,守门员,1,利瓦科维奇,D. Livaković,克罗地亚,萨格勒布迪纳摩,23,1995-01-09,188,80,,0,,,,,,
50204029,守门员,23,乌佐霍,Francis Uzoho,尼日利亚,拉科鲁尼亚,19,1998-10-28,196,91,右脚,0,,,,,,
50099636,守门员,16,阿克佩伊,D. Akpeyi,尼日利亚,茨普帕,31,1986-08-03,189,,右脚,0,,,,,,
50034736,守门员,1,埃岑瓦,I. Ezenwa,尼日利亚,中心队,29,1988-10-16,185,69,右脚,0,,,,,,
50132582,守门员,23,埃德森-莫赖斯,Ederson,巴西,曼城,24,1993-08-17,188,86,左脚,82,81,78,63,87,82,76
